Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Mahindra Scorpio,Pune,2012,99000,Diesel,Manual,Third,12.05 kmpl,2179 CC,120 bhp,Black/Silver,8,5,,6
Maruti Baleno,Kochi,2018,18678,Petrol,Manual,First,21.1 kmpl,998 CC,100 bhp,Others,5,4,,8.32
Mahindra Xylo,Bangalore,2013,197000,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,White,7,5,,4
Hyundai Grand,Delhi,2014,45000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,White,5,4,,3.49
Toyota Innova,Delhi,2011,65000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,8,5,,6.4
Honda WRV,Kochi,2018,15135,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,White,5,4,10.57 Lakh,9.29
Hyundai Verna,Bangalore,2016,79000,Diesel,Manual,First,24.8 kmpl,1396 CC,88.7 bhp,White,5,4,,7.25
Toyota Fortuner,Pune,2015,36000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,White,7,5,,22
Toyota Innova,Hyderabad,2009,156056,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,8,5,,8.5
Chevrolet Beat,Hyderabad,2012,61250,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,Others,5,4,,2.7
Toyota Innova,Hyderabad,2007,199000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,Others,7,4,,5.2
Audi A6,Ahmedabad,2008,41000,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,White,5,4,,10.5
Hyundai i20,Delhi,2017,17431,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Black/Silver,5,4,,6
Skoda Laura,Mumbai,2009,48000,Diesel,Automatic,Second,17.0 kmpl,1896 CC,105 bhp,White,5,4,,2.95
Honda City,Mumbai,2015,10400,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,,6.51
Maruti Baleno,Delhi,2017,33000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,6.96
Audi Q7,Pune,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,White,7,5,,12
Renault Duster,Bangalore,2014,70000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,Black/Silver,5,4,,8.25
Maruti Ertiga,Chennai,2012,40000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7,5,,7
Land Rover Freelander,Hyderabad,2012,139000,Diesel,Automatic,First,0.0 kmpl,2179 CC,115 bhp,Black/Silver,5,4,,16.75
Skoda Rapid,Mumbai,2014,35000,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,Black/Silver,5,4,,4.5
Maruti Zen,Pune,2007,42000,Petrol,Manual,Third,18.2 kmpl,998 CC,67.1 bhp,Others,5,4,,1.3
BMW 3,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,Others,5,4,60.88 Lakh,26.5
Hyundai i20,Bangalore,2015,59000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,Black/Silver,5,4,,5.75
Maruti Wagon,Chennai,2013,79000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,White,5,4,,3
Honda Jazz,Kolkata,2010,45000,Petrol,Manual,First,16.0 kmpl,1198 CC,90 bhp,White,5,4,,2
Maruti Wagon,Ahmedabad,2008,60123,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,Others,5,4,,1.95
